name,eco,fen,moves
Blumenfeld Countergambit,E10,rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq,  d4 Nf6   c4 e6   Nf3 c5
Bongcloud Attack,C20,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPPKPPP/RNBQ1BNR b kq,  e4 e5   Ke2
Borg Defense,B00,rnbqkbnr/pppppp1p/8/6p1/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 g5
Borg Defense: Borg Gambit,A40,rnbqkbnr/pppppp1p/8/6p1/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 g5
Borg Defense: Troon Gambit,B00,rnbqkbnr/pppppp2/7p/8/3PP1pP/8/PPP2PP1/RNBQKBNR w KQkq,  e4 g5   d4 h6   h4 g4
Borg Opening: Zilbermints Gambit,B00,rnbqkbnr/pppp1p1p/8/4p1p1/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 g5   d4 e5
Bronstein Gambit,A45,rnbqkb1r/pppppppp/5n2/8/3P2P1/8/PPP1PP1P/RNBQKBNR b KQkq,  d4 Nf6   g4
Canard Opening,A45,rnbqkb1r/pppppppp/5n2/8/3P1P2/8/PPP1P1PP/RNBQKBNR b KQkq,  d4 Nf6   f4
Caro-Kann Defense,B10,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 c6
Caro-Kann Defense: Accelerated Panov Attack,B10,rnbqkbnr/pp1ppppp/2p5/8/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq,  e4 c6   c4
"Caro-Kann Defense: Accelerated Panov Attack, Open Variation",B10,rnbqkbnr/pp1p1ppp/2p5/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq,  e4 c6   c4 e5
Caro-Kann Defense: Advance Variation,B12,rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq,  e4 c6   d4 d5   e5
